,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
227,Adventure,Animation,Comedy,Family,Fantasy,,,
228,Action,Adventure,Thriller,,,,,
229,Drama,History,War,,,,,
230,Drama,Romance,,,,,,
231,Adventure,Animation,Drama,ScienceFiction,,,,
232,Action,Adventure,Animation,Comedy,Crime,,,
233,Comedy,Drama,,,,,,
234,Drama,,,,,,,
235,Action,Thriller,,,,,,
236,Animation,Comedy,Family,,,,,
237,Adventure,Animation,Comedy,Family,,,,
238,Drama,Horror,Thriller,,,,,
239,Action,Comedy,Fantasy,Horror,,,,
240,Drama,Romance,,,,,,
241,Action,Animation,ScienceFiction,,,,,
242,Comedy,Drama,,,,,,
243,Action,Adventure,Animation,Fantasy,,,,
244,Comedy,Drama,,,,,,
245,Adventure,Animation,Comedy,Family,Fantasy,,,
246,Horror,Mystery,,,,,,
247,Drama,Romance,,,,,,
248,Mystery,ScienceFiction,Thriller,,,,,
249,Action,Adventure,Crime,Mystery,Thriller,,,
250,Thriller,,,,,,,
251,Horror,,,,,,,
252,Animation,Comedy,Mystery,,,,,
253,Animation,Drama,Fantasy,Mystery,,,,
254,Drama,History,Horror,,,,,
255,Action,Comedy,ScienceFiction,,,,,
256,Comedy,Family,Fantasy,,,,,
257,Adventure,Animation,Fantasy,,,,,
258,Adventure,Animation,Comedy,Family,Fantasy,Music,,
259,Animation,,,,,,,
260,Comedy,Fantasy,Horror,,,,,
261,Horror,Thriller,,,,,,
262,Action,Thriller,,,,,,
263,Action,Mystery,ScienceFiction,Thriller,,,,
264,Drama,History,,,,,,
265,Documentary,,,,,,,
266,Comedy,Fantasy,,,,,,
267,Fantasy,Horror,Thriller,,,,,
268,Comedy,,,,,,,
269,Drama,War,,,,,,
270,Action,Adventure,Fantasy,ScienceFiction,,,,
271,Comedy,Fantasy,,,,,,
272,Adventure,Animation,Comedy,Family,Fantasy,,,
273,Comedy,Drama,,,,,,
274,Action,Romance,,,,,,
275,Horror,Thriller,,,,,,
276,Action,Comedy,,,,,,
277,Comedy,,,,,,,
278,Action,Adventure,Fantasy,,,,,
279,Action,Adventure,Fantasy,,,,,
280,Drama,Romance,,,,,,
281,Horror,Thriller,,,,,,
282,Action,Adventure,Fantasy,,,,,
283,Adventure,Animation,Comedy,Fantasy,,,,
284,Adventure,Animation,Family,Fantasy,,,,
285,Action,Adventure,Animation,Comedy,Family,Western,,
286,Animation,Comedy,Family,Fantasy,,,,
287,Action,Adventure,Crime,Thriller,,,,
288,Thriller,,,,,,,
289,Action,Adventure,ScienceFiction,,,,,
290,Action,Crime,Thriller,,,,,
291,Drama,Romance,,,,,,
292,Action,Animation,Fantasy,ScienceFiction,,,,
293,Adventure,Animation,Comedy,Family,Fantasy,,,
294,Horror,Mystery,Thriller,,,,,
295,Animation,Drama,Fantasy,Mystery,,,,
296,Adventure,Comedy,Family,Fantasy,,,,
297,Action,Adventure,Fantasy,,,,,
298,Adventure,Drama,Fantasy,Romance,,,,
299,Action,Adventure,ScienceFiction,,,,,
300,Action,Adventure,Comedy,,,,,
301,Action,,,,,,,
302,Documentary,,,,,,,
303,Adventure,Animation,Comedy,Family,Mystery,,,
304,Adventure,ScienceFiction,,,,,,
305,Action,Adventure,Comedy,,,,,
306,Adventure,Animation,Comedy,Drama,Family,,,
307,Action,Horror,ScienceFiction,,,,,
308,Horror,Mystery,Thriller,,,,,
309,Action,TVMovie,Thriller,,,,,
310,Family,Fantasy,TVMovie,,,,,
311,Action,Fantasy,,,,,,
312,Animation,Comedy,Family,ScienceFiction,,,,
313,Action,Adventure,Animation,Fantasy,,,,
314,Action,Adventure,ScienceFiction,,,,,
315,Drama,Fantasy,Romance,,,,,
316,Action,Drama,War,,,,,
317,Adventure,Animation,Comedy,Family,Fantasy,,,
318,Thriller,,,,,,,
319,Adventure,Animation,Comedy,Family,,,,
320,Action,Adventure,ScienceFiction,,,,,
321,Action,Adventure,Animation,Family,Fantasy,,,
322,Action,Thriller,,,,,,
323,Adventure,Animation,Comedy,Family,Fantasy,,,
324,Action,Animation,Fantasy,,,,,
325,Action,Crime,Thriller,,,,,
326,Horror,Mystery,Thriller,,,,,
327,Adventure,Drama,Fantasy,Romance,,,,
328,Drama,Mystery,Thriller,,,,,
329,Drama,Romance,,,,,,
330,Action,Comedy,Crime,Thriller,,,,
331,Action,Adventure,Animation,Family,Fantasy,TVMovie,,
332,Thriller,,,,,,,
333,Drama,,,,,,,
334,Animation,Drama,Family,,,,,
335,Action,Adventure,Animation,Comedy,Family,,,
336,Horror,Thriller,,,,,,
337,Adventure,Animation,Comedy,Family,,,,
338,Adventure,Comedy,Fantasy,,,,,
339,Action,Adventure,ScienceFiction,,,,,
340,Action,Adventure,Animation,Family,Fantasy,TVMovie,,
341,Animation,Family,,,,,,
342,Action,Adventure,ScienceFiction,,,,,
343,Adventure,Comedy,Family,Fantasy,,,,
344,Action,Adventure,Fantasy,,,,,
345,Action,Adventure,ScienceFiction,,,,,
346,Action,Adventure,Fantasy,,,,,
347,Action,Crime,,,,,,
348,Action,Adventure,ScienceFiction,,,,,
349,Adventure,Animation,Family,Fantasy,,,,
350,Action,Adventure,Fantasy,,,,,
351,Adventure,Comedy,Fantasy,,,,,
352,Thriller,,,,,,,
353,Action,Crime,,,,,,
354,Action,Animation,ScienceFiction,,,,,
355,Animation,Comedy,Family,ScienceFiction,,,,
356,Action,Thriller,,,,,,
357,Crime,Drama,,,,,,
358,Comedy,Drama,Romance,,,,,
359,Action,Horror,Thriller,,,,,
360,Documentary,,,,,,,
361,Action,Drama,Mystery,Thriller,,,,
362,Music,,,,,,,
363,Horror,Thriller,,,,,,
364,Drama,Fantasy,Romance,,,,,
365,Action,Thriller,,,,,,
366,Action,Adventure,Fantasy,,,,,
367,Action,Comedy,,,,,,
368,Action,Crime,Thriller,,,,,
369,Adventure,Comedy,ScienceFiction,,,,,
370,Action,Adventure,ScienceFiction,,,,,
371,Drama,Horror,Mystery,,,,,
372,Action,Crime,Thriller,,,,,
373,Action,Animation,Fantasy,,,,,
374,Animation,Family,Fantasy,,,,,
375,Crime,Drama,Thriller,,,,,
376,Comedy,Family,,,,,,
377,Animation,Drama,Romance,,,,,
378,Adventure,Animation,Comedy,Family,Fantasy,,,
379,Adventure,Animation,Comedy,Family,Fantasy,,,
380,Animation,Comedy,Family,,,,,
381,Comedy,Drama,Romance,,,,,
382,Comedy,Crime,History,Mystery,Thriller,,,
383,Action,Animation,Comedy,,,,,
384,Animation,,,,,,,
385,Drama,Thriller,War,,,,,
386,Action,Drama,ScienceFiction,,,,,
387,Adventure,Animation,Comedy,Family,,,,
388,Comedy,Drama,Thriller,,,,,
389,Drama,Romance,,,,,,
390,Comedy,Family,Fantasy,,,,,
391,Adventure,ScienceFiction,Thriller,,,,,
392,Horror,Mystery,Thriller,,,,,
393,Action,Horror,ScienceFiction,Thriller,,,,
394,Adventure,Fantasy,Romance,,,,,
395,Adventure,ScienceFiction,,,,,,
396,Adventure,Family,Fantasy,Romance,,,,
397,Action,Animation,Romance,,,,,
398,Drama,,,,,,,
399,Drama,,,,,,,
400,Action,Adventure,ScienceFiction,,,,,
401,Comedy,Romance,,,,,,
402,Action,Adventure,Mystery,Thriller,War,,,
403,Action,Crime,Thriller,,,,,
404,Adventure,Animation,Comedy,Family,,,,
405,Comedy,Crime,Drama,,,,,
406,Drama,Romance,,,,,,
407,Action,Crime,Thriller,,,,,
408,Horror,,,,,,,
409,Animation,Comedy,Family,Fantasy,,,,
410,Drama,Romance,ScienceFiction,,,,,
411,Adventure,Animation,Comedy,Family,,,,
412,Animation,Family,Fantasy,,,,,
413,Drama,Romance,Thriller,,,,,
414,Comedy,,,,,,,
415,Adventure,Animation,Comedy,Family,,,,
416,Action,Adventure,Crime,Drama,Horror,Mystery,Thriller,War
417,Horror,Thriller,,,,,,
418,Crime,Drama,,,,,,
419,Action,Crime,Thriller,,,,,
420,Drama,Music,,,,,,
421,Animation,Family,Fantasy,Romance,,,,
422,Action,Thriller,,,,,,
423,Horror,,,,,,,
424,Comedy,Drama,Romance,,,,,
425,Comedy,Family,Romance,,,,,
426,Animation,Comedy,Family,,,,,
427,Animation,Comedy,Drama,Family,Fantasy,,,
428,Action,Adventure,Horror,Thriller,,,,
429,Animation,Family,Romance,,,,,
430,Action,Adventure,Thriller,,,,,
431,Crime,Drama,Mystery,Romance,Thriller,,,
432,Drama,Mystery,TVMovie,Thriller,,,,
433,Animation,Comedy,Family,,,,,
434,Action,Fantasy,Horror,TVMovie,,,,
435,Comedy,Romance,,,,,,
436,Adventure,Drama,Family,,,,,
437,Action,Adventure,Animation,ScienceFiction,,,,
438,Action,Thriller,,,,,,
439,Action,Adventure,Comedy,,,,,
440,Comedy,Drama,,,,,,
441,Action,ScienceFiction,,,,,,
442,Comedy,Drama,,,,,,
443,Drama,Romance,,,,,,
444,Action,Adventure,Fantasy,,,,,
445,Drama,,,,,,,
446,Horror,Mystery,,,,,,
447,Drama,History,Music,,,,,
448,Action,ScienceFiction,,,,,,
449,Adventure,Animation,Family,,,,,
