,Unnamed: 0,budget,homepage,id,imdb_id,revenue,runtime,language,description,popularity,title,rating,votes,year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
62,62,0,,760204,tt13468602,0,93,en,"royal air force pilot lt  kate sinclair final flight mission jet shot one dangerous rebel strongholds afghanistan  finds refuge abandoned underground bunker deadly man made creatures known ravagers   half human, half alien, hungry human flesh   awakened ",428.302,The Lair,6.0,45,2022,Action,Horror,,,,,,
63,63,0,,732459,tt12610794,0,106,en,"sequel  47 ronin,  new class warriors emerges among samurai clans keep sought after sword falling wrong hands ",427.316,Blade of the 47 Ronin,6.8,97,2022,Action,Fantasy,,,,,,
64,64,0,https://www.netflix.com/title/81509213,948276,tt14465706,0,98,fr,"cleared name, genius mechanic lino one goal mind  getting revenge corrupt cops killed brother mentor ",425.797,Lost Bullet 2,6.6,187,2022,Action,Drama,Thriller,,,,,
65,65,0,http://www.infromthesidemovie.com,622082,tt7947604,0,134,en,two men gay men's rugby club must conceal adulterous affair unwittingly fall leads collapse delicate social political fabric club ,419.642,In from the Side,6.5,11,2022,Drama,Romance,,,,,,
66,66,65000000,https://www.20thcenturystudios.com/movies/prey,766507,tt11866324,0,100,en,"danger threatens camp, fierce highly skilled comanche warrior naru sets protect people  prey stalks turns highly evolved alien predator technically advanced arsenal ",418.752,Prey,7.8,4851,2022,Action,ScienceFiction,Thriller,,,,,
68,68,0,https://www.emilythecriminal.com/,862965,tt15255876,0,97,en,"emily, saddled student debt locked job market due minor criminal record, gets involved credit card scam pulls criminal underworld los angeles, ultimately leading deadly consequences ",403.672,Emily the Criminal,6.9,306,2022,Crime,Drama,Thriller,,,,,
69,69,14000000,https://www.hulu.com/movie/hellraiser-eb138082-5c40-4a8f-aa30-3fc66ef615fd,338947,tt0887261,0,121,en,"young woman struggling addiction comes possession ancient puzzle box, unaware purpose summon cenobites, group sadistic supernatural beings another dimension ",395.709,Hellraiser,6.5,384,2022,Horror,Mystery,,,,,,
70,70,90000000,https://www.bullettrainmovie.com,718930,tt12593682,239260044,127,en,"unlucky assassin ladybug determined job peacefully one many gigs gone rails  fate, however, may plans, ladybug's latest mission puts collision course lethal adversaries around globe all connected, yet conflicting, objectives on world's fastest train ",391.805,Bullet Train,7.5,2864,2022,Action,Comedy,Thriller,,,,,
71,71,0,,872177,tt15391770,0,106,en,"set san tiburon, world's dangerous maximum security penitentiary home world's treacherous superpowered criminals, tensions among inmates staff heighten, leading anarchy engulfs prison order turned upside down ",388.068,Corrective Measures,5.1,41,2022,Action,ScienceFiction,,,,,,
73,73,0,https://www.beastmovie.com,760741,tt13223398,56000000,93,en,"recently widowed man two teenage daughters travel game reserve south africa  however, journey healing soon turns fight survival bloodthirsty lion starts stalk them ",385.236,Beast,7.0,902,2022,Adventure,Horror,Thriller,,,,,
75,75,0,,979924,tt14824590,0,104,en,provocative edgy radio host must play dangerous game cat mouse mysterious caller who's kidnapped family threatening blow whole station ,370.201,On the Line,6.3,194,2022,Thriller,,,,,,,
82,82,0,,675054,tt10171796,0,93,es,"group teenagers must face zombie apocalypse, help reestablish order ",350.872,MexZombies,7.2,108,2022,Action,Comedy,Horror,,,,,
83,83,0,https://www.netflix.com/title/81406219,829280,tt14641788,0,129,en,"detective for hire like infamous brother, enola holmes takes first official case find missing girl, sparks dangerous conspiracy ignite mystery requires help friends   sherlock   unravel ",347.387,Enola Holmes 2,7.6,417,2022,Adventure,Comedy,Crime,Mystery,,,,
86,86,18000000,https://www.bonesandallfilm.net/,791177,tt10168670,14134907,131,en,"abandoned father, young woman embarks thousand mile odyssey backroads america meets disenfranchised drifter  despite best efforts, roads lead back terrifying pasts final stand determine whether love survive otherness ",329.296,Bones and All,7.5,424,2022,Drama,Horror,Romance,,,,,
87,87,0,https://searchlightpictures.com/films/the-banshees-of-inisherin,674324,tt11813216,19097950,114,en,"two lifelong friends find impasse one abruptly ends relationship, alarming consequences them ",325.039,The Banshees of Inisherin,7.6,261,2022,Comedy,Drama,,,,,,
88,88,0,https://www.netflix.com/title/81266981,960704,tt18671660,0,143,ja,"elric brothers’ long winding journey comes close epic finale, must face unworldly, nationwide threat ",324.454,Fullmetal Alchemist: The Final Alchemy,6.2,125,2022,Action,Adventure,Fantasy,,,,,
89,89,200000001,https://www.marvel.com/movies/doctor-strange-in-the-multiverse-of-madness,453395,tt9419884,964091059,126,en,"doctor strange, help mystical allies old new, traverses mind bending dangerous alternate realities multiverse confront mysterious new adversary ",323.398,Doctor Strange in the Multiverse of Madness,7.4,6583,2022,Action,Adventure,Fantasy,,,,,
91,91,0,,760161,tt11851548,9572765,99,en,"escaping estonian psychiatric facility, leena klammer travels america impersonating esther, missing daughter wealthy family  mask starts slip, put mother protect family murderous  child  cost ",320.285,Orphan: First Kill,6.8,1411,2022,Horror,Thriller,,,,,,
92,92,185000000,https://www.thebatman.com,414906,tt1877830,770836163,177,en,"second year fighting crime, batman uncovers corruption gotham city connects family facing serial killer known riddler ",314.486,The Batman,7.7,7056,2022,Crime,Mystery,Thriller,,,,,
93,93,0,,929562,tt13924926,0,83,en,"helen daughter emily reluctantly accompany helen’s father stan family camping trip, driving deep forest real outdoors experience, angry landowner howard arrive force leave  rv gets stuck, helen decides seek help discovers disturbing secret man’s property  must fight protect family make forest alive hunted down ",310.068,In the Forest,6.1,13,2022,Horror,Thriller,,,,,,
94,94,100000000,https://www.unitedartistsreleasing.com/samaritan/,629176,tt5500218,0,102,en,"thirteen year old sam cleary suspects mysteriously reclusive neighbor mr  smith actually legendary vigilante samaritan, reported dead 20 years ago  crime rise city brink chaos, sam makes mission coax neighbor hiding save city ruin ",308.341,Samaritan,6.9,1474,2022,Action,Drama,ScienceFiction,,,,,
95,95,2400000,https://morenafilms.com/portfolio/cerdita/,848058,tt10399608,380512,100,es,bullied overweight teenager sees glimpse hope tormentors brutally abducted mesmerizing stranger ,301.655,Piggy,6.7,243,2022,Drama,Horror,Thriller,,,,,
96,96,0,,916605,tt15275256,0,107,en,"reclusive controversial author bruce cogburn drawn hiding obsessive fan, forcing novelist confront past thought could escape, account events set motion bestseller decades earlier  cogburn's search behind manipulation mental torment encounters leads emotional roller coaster ride full fear danger, things always clear seem be, past deeds dire consequences ",300.038,The Infernal Machine,6.8,143,2022,Mystery,Thriller,,,,,,
97,97,0,https://www.netflix.com/title/81312828,852046,tt15445056,0,97,fr,"hours tragic death youngest brother unexplained circumstances, three siblings lives thrown chaos ",295.6,Athena,6.6,417,2022,Action,Drama,Thriller,,,,,
98,98,10000000,https://www.theinvitation.movie,830788,tt12873562,33628000,105,en,"death mother, evie approached unknown cousin invites lavish wedding english countryside  soon, realizes gothic conspiracy afoot must fight survival uncovers twisted secrets family’s history ",295.545,The Invitation,6.4,378,2022,Horror,Thriller,,,,,,
102,102,0,,452251,,0,81,ko,"legendary beauty salon sure become regular go  sir, would like hot service  in order overcome financial difficulties beauty parlor,it begins attract male guests special technique makes head toe kurt, firm, ‘it’ open hair salon good ",288.823,Beauty Salon: Special Service,5.6,8,2016,Drama,Romance,,,,,,
